acc,std,loss,tp,fp,tn,fn,hp
74.73820845286052,0.0,0.0509875143567721,2644.0,886.3333333333334,24292.666666666668,953.0,"[16, 3, 5, 0.5, 75, 0.01, 'mean_squared_error', 0.0]"
74.60383772850037,0.0,0.05077282898128033,2646.25,893.25,24285.75,950.75,"[32, 5, 3, 0.3, 25, 0.001, 'mean_squared_error', 0.0]"
74.72338199615479,0.0,0.05085820257663727,2637.6,879.2,24299.8,959.4,"[32, 3, 3, 0.7, 75, 0.01, 'categorical_crossentropy', 0.3]"
74.44629867871602,0.0,0.05125040809313456,2622.8333333333335,879.3333333333334,24299.666666666668,974.1666666666666,"[8, 5, 5, 0.5, 75, 0.001, 'categorical_crossentropy', 0.9]"
74.58993707384381,0.0,0.051172791847160885,2621.5714285714284,874.8571428571429,24304.14285714286,975.4285714285714,"[16, 5, 3, 0.5, 25, 0.01, 'categorical_crossentropy', 0.9]"
74.59341213107109,0.0,0.05103635648265481,2626.25,875.5,24303.5,970.75,"[32, 3, 3, 0.7, 75, 0.001, 'categorical_crossentropy', 0.3]"
74.51271216074626,0.0,0.051274065342214376,2618.5555555555557,880.3333333333334,24298.666666666668,978.4444444444445,"[16, 5, 5, 0.3, 50, 0.01, 'categorical_crossentropy', 0.0]"
74.53919410705566,0.0,0.0511584110558033,2615.7,879.3,24299.0,981.2,"[16, 3, 5, 0.7, 25, 0.01, 'mean_squared_error', 0.3]"
74.3953287601471,0.0,0.8802884221076965,2676.0,915.0,24264.0,921.0,"[32, 7, 3, 0.5, 50, 0.1, 'mean_squared_error', 0.6]"
74.31192696094513,0.0,0.9010878503322601,2613.5,742.0,24437.0,983.5,"[16, 7, 5, 0.5, 75, 0.1, 'mean_squared_error', 0.0]"
74.26559130350749,0.0,0.9115055799484253,2572.6666666666665,702.3333333333334,24476.666666666668,1024.3333333333333,"[32, 3, 5, 0.3, 75, 0.01, 'mean_squared_error', 0.0]"
74.4370311498642,0.0,0.8837016671895981,2584.75,644.0,24535.0,1012.25,"[16, 5, 5, 0.7, 75, 0.001, 'mean_squared_error', 0.3]"
74.56769585609436,0.0,0.911939823627472,2489.2,551.0,24628.0,1107.8,"[32, 7, 5, 0.3, 50, 0.001, 'categorical_crossentropy', 0.0]"
74.74747498830159,0.0,0.8975374400615692,2526.1666666666665,592.8333333333334,24586.166666666668,1070.8333333333333,"[16, 7, 3, 0.3, 50, 0.01, 'mean_squared_error', 0.0]"
74.78057146072388,0.0,0.9007156320980617,2537.8571428571427,612.1428571428571,24566.85714285714,1059.142857142857,"[16, 5, 5, 0.3, 50, 0.01, 'mean_squared_error', 0.0]"
74.83319491147995,0.0,0.9025708809494972,2553.375,637.625,24541.375,1043.625,"[16, 5, 5, 0.5, 75, 0.1, 'categorical_crossentropy', 0.6]"
74.74438614315457,0.0,0.9010149108039008,2563.222222222222,665.7777777777778,24513.222222222223,1033.7777777777778,"[8, 7, 5, 0.3, 50, 0.001, 'categorical_crossentropy', 0.9]"
74.71154928207397,0.0,0.8978688895702363,2568.6,656.1,24522.2,1028.3,"[8, 3, 5, 0.7, 50, 0.001, 'categorical_crossentropy', 0.0]"
75.72106122970581,0.0,0.04367533698678017,3751.0,845.0,34589.0,1311.0,"[16, 7, 3, 0.3, 50, 0.001, 'categorical_crossentropy', 0.9]"
77.66491770744324,0.0,0.04156403988599777,3821.5,796.5,34634.0,1240.0,"[16, 7, 3, 0.7, 50, 0.01, 'categorical_crossentropy', 0.6]"
76.9626756509145,0.0,0.04261035596330961,3797.3333333333335,864.0,34565.333333333336,1264.0,"[16, 7, 3, 0.7, 25, 0.001, 'mean_squared_error', 0.0]"
76.46830230951309,0.0,0.04305965919047594,3784.5,910.0,34518.75,1276.75,"[8, 5, 5, 0.3, 75, 0.001, 'mean_squared_error', 0.3]"
76.19538903236389,0.0,0.04328768476843834,3763.6,898.6,34529.8,1297.6,"[8, 5, 3, 0.7, 75, 0.1, 'mean_squared_error', 0.3]"
76.20115677515666,0.0,0.04302126665910085,3766.5,880.5,34547.666666666664,1294.6666666666667,"[8, 3, 5, 0.7, 75, 0.001, 'categorical_crossentropy', 0.6]"
75.98510554858616,0.0,0.043194466935736794,3759.1428571428573,879.4285714285714,34548.57142857143,1302.0,"[8, 3, 5, 0.5, 75, 0.001, 'mean_squared_error', 0.6]"
76.25282406806946,0.0,0.04291044641286135,3759.125,862.375,34565.5,1302.0,"[8, 3, 5, 0.3, 50, 0.1, 'mean_squared_error', 0.3]"
76.14490654733446,0.0,0.043087693138255015,3745.6666666666665,869.1111111111111,34558.666666666664,1315.4444444444443,"[32, 7, 5, 0.5, 25, 0.01, 'mean_squared_error', 0.3]"
76.56637728214264,0.0,0.04265347421169281,3771.4,858.5,34569.2,1289.7,"[8, 5, 5, 0.3, 75, 0.1, 'categorical_crossentropy', 0.9]"
